Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
41550;Hannula;Hankasalmi;77;Keski-Suomi;13
41560;Säkinmäki;Hankasalmi;77;Keski-Suomi;13
41580;Sauvamäki;Hankasalmi;77;Keski-Suomi;13
41630;Oravasaari;Jyväskylä;179;Keski-Suomi;13
41660;Toivakka Keskus;Toivakka;850;Keski-Suomi;13
41710;Rutalahti-Kivisuo;Jyväskylä;179;Keski-Suomi;13
41730;Kivisuo;Joutsa;172;Keski-Suomi;13
41750;Havumäki;Joutsa;172;Keski-Suomi;13
41770;Leivonmäki;Joutsa;172;Keski-Suomi;13
41800;Korpilahti Keskus;Jyväskylä;179;Keski-Suomi;13
41820;Saakoski;Jyväskylä;179;Keski-Suomi;13
41840;Moksi;Jyväskylä;179;Keski-Suomi;13
41860;Rannila;Jyväskylä;179;Keski-Suomi;13
41870;Putkilahti;Jyväskylä;179;Keski-Suomi;13
41880;Oittila;Jyväskylä;179;Keski-Suomi;13
41900;Petäjävesi Keskus;Petäjävesi;592;Keski-Suomi;13
41920;Kintaus;Petäjävesi;592;Keski-Suomi;13
41925;Ylä-Kintaus;Petäjävesi;592;Keski-Suomi;13
41930;Kuohu;Jyväskylä;179;Keski-Suomi;13
41940;Vesanka;Jyväskylä;179;Keski-Suomi;13
41970;Huttula;Keuruu;249;Keski-Suomi;13
41980;Kuivasmäki;Petäjävesi;592;Keski-Suomi;13
42100;Jämsä Keskus;Jämsä;182;Keski-Suomi;13
42140;Juokslahti;Jämsä;182;Keski-Suomi;13
42220;Kaipola;Jämsä;182;Keski-Suomi;13
42300;Jämsänkoski Keskus;Jämsä;182;Keski-Suomi;13
42330;Haavisto;Jämsä;182;Keski-Suomi;13
42440;Koskenpää;Jämsä;182;Keski-Suomi;13
42520;Asunta;Keuruu;249;Keski-Suomi;13
42560;Pohjoisjärvi;Keuruu;249;Keski-Suomi;13
42600;Multia Keskus-Väätäiskylä;Multia;495;Keski-Suomi;13
42660;Sahrajärvi;Multia;495;Keski-Suomi;13
42700;Keuruu Keskus;Keuruu;249;Keski-Suomi;13
42720;Valkealahti;Keuruu;249;Keski-Suomi;13
42800;Haapamäki;Keuruu;249;Keski-Suomi;13
42820;Riiho;Keuruu;249;Keski-Suomi;13
42830;Ylä-Kolkki;Mänttä-Vilppula;508;Pirkanmaa;6
42840;Kolkki;Mänttä-Vilppula;508;Pirkanmaa;6
42850;Pohjaslahti;Mänttä-Vilppula;508;Pirkanmaa;6
42870;Kotala;Virrat;936;Pirkanmaa;6
42910;Pihlajavesi;Keuruu;249;Keski-Suomi;13
42930;Katajamäki;Keuruu;249;Keski-Suomi;13
