Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
31300;Tammela Keskus;Tammela;834;Kanta-Häme;5
31310;Mustiala;Tammela;834;Kanta-Häme;5
31340;Porras;Tammela;834;Kanta-Häme;5
31350;Vistinkoski;Tammela;834;Kanta-Häme;5
31370;Eerikkilän Urheiluopisto;Tammela;834;Kanta-Häme;5
31380;Letku-Torro;Tammela;834;Kanta-Häme;5
31400;Somero Keskus;Somero;761;Varsinais-Suomi;2
31410;Ylöpirtti;Somero;761;Varsinais-Suomi;2
31450;Häntälä;Somero;761;Varsinais-Suomi;2
31460;Hirsjärvi;Somero;761;Varsinais-Suomi;2
31470;Somerniemi;Somero;761;Varsinais-Suomi;2
31490;Terttilä;Somero;761;Varsinais-Suomi;2
31500;Koski Tl;Koski Tl;284;Varsinais-Suomi;2
31520;Pitkäjärvi;Somero;761;Varsinais-Suomi;2
31530;Pyöli;Somero;761;Varsinais-Suomi;2
31600;Jokioinen Keskus;Jokioinen;169;Kanta-Häme;5
31610;Vaulammi;Jokioinen;169;Kanta-Häme;5
31620;Latovainio;Jokioinen;169;Kanta-Häme;5
31630;Minkiö;Jokioinen;169;Kanta-Häme;5
31640;Humppila Keskus;Humppila;103;Kanta-Häme;5
31650;Venäjänkangas;Humppila;103;Kanta-Häme;5
31700;Urjala Asemanseutu-Hanhisuo;Urjala;887;Pirkanmaa;6
31720;Urjalankylä-Kehro;Urjala;887;Pirkanmaa;6
31730;Honkola;Urjala;887;Pirkanmaa;6
31750;Kehro;Urjala;887;Pirkanmaa;6
31760;Urjala Keskus;Urjala;887;Pirkanmaa;6
31810;Oriniemi;Punkalaidun;619;Pirkanmaa;6
31830;Halkivaha;Urjala;887;Pirkanmaa;6
31850;Koskioinen;Punkalaidun;619;Pirkanmaa;6
31860;Tursa;Urjala;887;Pirkanmaa;6
31900;Punkalaidun Keskus;Punkalaidun;619;Pirkanmaa;6
31930;Vanttila;Punkalaidun;619;Pirkanmaa;6
31950;Sadonmaa;Punkalaidun;619;Pirkanmaa;6
31960;Orisuo;Loimaa;430;Varsinais-Suomi;2
31970;Kanteenmaa;Punkalaidun;619;Pirkanmaa;6
32100;Ypäjä Keskus;Ypäjä;981;Kanta-Häme;5
32140;Ypäjä Asemanseutu;Ypäjä;981;Kanta-Häme;5
32200;Loimaa Keskus;Loimaa;430;Varsinais-Suomi;2
32210;Loimaa kk;Loimaa;430;Varsinais-Suomi;2
32250;Kojonkulma;Loimaa;430;Varsinais-Suomi;2
32260;Kojonperä;Loimaa;430;Varsinais-Suomi;2
32270;Metsämaa-Murto;Loimaa;430;Varsinais-Suomi;2
32280;Metsäkorpi;Loimaa;430;Varsinais-Suomi;2
32300;Mellilä;Loimaa;430;Varsinais-Suomi;2
32410;Niinijoki;Loimaa;430;Varsinais-Suomi;2
32430;Ylhäinen;Loimaa;430;Varsinais-Suomi;2
32440;Alastaro Keskus;Loimaa;430;Varsinais-Suomi;2
32450;Tammiainen;Loimaa;430;Varsinais-Suomi;2
32500;Oripää Keskus;Oripää;561;Varsinais-Suomi;2
32520;Latva;Oripää;561;Varsinais-Suomi;2
32560;Virttaa;Loimaa;430;Varsinais-Suomi;2
32610;Vampula Keskus;Huittinen;102;Satakunta;4
32620;Rutava;Huittinen;102;Satakunta;4
32700;Huittinen Keskus;Huittinen;102;Satakunta;4
32710;Sampu;Huittinen;102;Satakunta;4
32730;Keikyä;Sastamala;790;Pirkanmaa;6
32740;Äetsä Keskus;Sastamala;790;Pirkanmaa;6
32760;Suttila;Huittinen;102;Satakunta;4
32770;Huhtamo;Huittinen;102;Satakunta;4
32800;Kokemäki Keskus;Kokemäki;271;Satakunta;4
32810;Peipohja;Kokemäki;271;Satakunta;4
32830;Riste;Kokemäki;271;Satakunta;4
32860;Korkeaoja;Kokemäki;271;Satakunta;4
32910;Kauvatsa Asemanseutu;Kokemäki;271;Satakunta;4
32920;Kauvatsa;Kokemäki;271;Satakunta;4
33100;Tampere Keskus;Tampere;837;Pirkanmaa;6
33180;Lapinniemi-Käpylä;Tampere;837;Pirkanmaa;6
33200;Tampere Keskus Läntinen;Tampere;837;Pirkanmaa;6
33210;Itä-Amuri-Tammerkoski;Tampere;837;Pirkanmaa;6
33230;Länsi-Amuri;Tampere;837;Pirkanmaa;6
33240;Tahmela;Tampere;837;Pirkanmaa;6
33250;Pispala;Tampere;837;Pirkanmaa;6
33270;Epilä;Tampere;837;Pirkanmaa;6
33300;Rahola;Tampere;837;Pirkanmaa;6
33310;Tesoma;Tampere;837;Pirkanmaa;6
33330;Myllypuro-Kalkku;Tampere;837;Pirkanmaa;6
33340;Haukiluoma-Ikuri;Tampere;837;Pirkanmaa;6
