Zip;Income
19740;17204
19770;19593
19850;16942
19910;18639
19920;21242
19950;17139
20100;20005
20200;18333
20210;18130
20240;18453
20250;26068
20300;21466
20320;21345
20360;18678
20380;19391
20400;25971
20460;20615
20500;16774
20520;18125
20540;17940
20610;17742
20660;25878
20700;19601
20720;19518
20730;21063
20740;20731
20750;18459
20760;24008
20780;22444
20800;0
20810;21191
20880;22172
20900;27029
20960;24840
21100;22042
21110;24860
21120;25720
21130;25361
21140;22010
21150;20724
21160;25703
21180;22686
21195;23109
21200;20561
21210;24003
21220;21947
21230;24792
21240;22653
21250;25130
21260;25132
21270;23513
21280;25160
21290;24451
21310;23960
21330;22282
21340;21529
21350;26041
21360;23629
21370;23315
21380;22778
21410;27597
21420;22667
21430;24717
21450;22208
21480;23595
21490;19911
21500;23680
21510;24065
21520;0
21530;22557
21540;25154
21555;23173
21560;20133
21570;21418
21590;22720
21600;22737
21610;24555
21620;26864
21630;24468
21650;22011
21660;21006
21670;22285
21680;0
21710;21382
21720;0
21740;26453
21750;17750
21760;20384
21770;20901
21800;20547
21820;21651
21840;23813
21860;22014
21870;21718
21880;21037
21890;22432
21900;18871
21930;20248
22100;25352
22120;28845
22130;27673
22140;30148
22150;26053
22160;29442
22220;25926
22240;24649
22270;24314
22310;23462
22320;25863
22330;24157
22340;21425
22410;24900
22430;24893
22520;23850
22530;22755
22550;23088
22610;26055
22630;23458
22710;23452
22720;23616
22730;21780
22810;0
22820;23676
22830;24913
22840;21804
22910;25745
22920;20771
22930;0
22940;23486
22950;24766
23100;20928
23120;22641
23140;23481
23200;19646
23210;21106
23260;22937
23310;20119
23360;19252
23390;21052
23450;21606
23500;21670
23600;21790
23660;22499
23800;20978
23840;20297
23880;18473
23930;20480
23950;21745
23960;20868
24100;18099
24130;21235
24240;18821
24260;18119
24280;24067
24800;20562
24910;24980
25110;19538
25130;20991
25160;20465
25170;21121
25180;21525
25190;20661
25210;23180
25230;20068
25240;20950
25250;22279
25260;20847
25320;19899
25330;20107
25340;20341
25360;21642
25370;21445
25380;18537
25390;18413
25410;18611
25420;23566
25430;21839
25460;19082
25470;19551
25500;18805
25520;20891
25540;20042
25550;17757
25560;18808
25570;18443
25610;19936
25630;20169
25640;18609
25650;19047
25660;19898
25700;20051
25710;22925
25730;19592
25760;17170
25810;19161
25820;21161
25830;20087
25840;19838
25860;19211
25870;19108
25900;17791
25910;0
25930;19590
25940;16829
25950;20575
25960;18485
26100;20078
26200;23820
26410;25500
26510;22672
26560;23361
26660;21064
26720;26807
26740;22786
26820;19837
26840;22856
26910;24653
26930;21466
26950;23502
27100;23010
27110;24163
27130;21475
27150;24539
27160;0
27170;20936
27220;22367
27230;21148
27250;20062
27260;18221
27310;21874
27320;22377
27340;22097
27400;18877
27420;22601
27430;20103
27450;22156
27500;23046
27510;21396
27600;19957
27640;19737
27650;18498
27670;20212
27710;20154
27730;20419
27740;17996
27750;21347
27800;21581
27820;22039
27840;22063
27860;20754
27910;21209
27920;21632
28100;18245
28120;19466
28130;18654
28190;18094
28200;22778
28220;23171
28240;23309
28260;21812
28300;25090
28330;19382
28360;19857
28370;17033
28400;21236
28430;23860
28450;21950
28500;17367
28540;23939
28560;23808
28580;21716
28600;23901
28610;22173
28660;23374
28760;22247
28800;19945
28840;20647
28880;18276
28900;19010
29100;22762
29180;20982
29200;20431
29250;20574
29270;18720
29280;21015
29310;20955
29320;20637
29340;19761
29350;19207
29570;23704
29600;21851
29630;18662
29640;17160
29680;16797
29700;18271
29720;19300
29740;19794
29750;19170
29760;18593
29790;18894
29810;17061
29830;17781
29860;16168
29880;14727
29900;18319
29940;15932
30100;20128
30300;16482
30420;19303
31110;20126
31130;21551
31140;21024
31160;17873
31170;16736
31230;16982
31250;23932
31300;21343
31310;18063
31340;20338
31350;20169
31370;0
31380;21097
31400;19175
31410;19978
31450;22273
31460;19975
31470;21097
31490;21085
31500;19606
31520;20366
31530;21633
31600;21318
31610;20945
31620;21602
31630;21761
31640;19151
31650;21378
31700;20260
31720;18258
31730;19151
31750;15153
31760;18382
31810;19059
31830;17600
31850;19884
31860;16624
31900;17907
31930;17952
31950;16621
31960;16534
31970;19671
32100;18887
32140;20347
32200;19547
32210;20147
32250;21287
32260;15928
32270;19742
32280;17666
32300;18993
32410;22714
32430;20936
32440;18306
32450;18525
32500;19885
32520;20152
32560;21983
32610;19929
32620;18396
32700;19582
32710;23321
32730;19125
32740;18823
32760;18191
32770;17434
32800;19167
32810;20108
32830;20247
32860;21023
32910;18387
32920;17425
33100;20324
33180;20601
33200;20426
33210;19608
33230;22657
33240;25378
33250;22470
33270;22028
33300;22444
33310;18769
33330;20821
33340;22883
33380;15143
33400;21514
33410;19589
33420;21981
33430;23238
33450;24955
33470;20521
33480;24378
33500;19850
33520;20460
33530;18797
33540;17859
33560;21166
33580;22860
33610;25327
33680;22824
33700;22993
33710;20608
33720;16507
33730;24692
33800;19320
33820;22447
33840;19212
33850;18806
33870;22543
33880;23320
33900;20413
33920;27004
33950;23776
33960;24291
33980;25915
34110;26075
34130;23279
34140;23366
34150;22680
34180;19891
34240;23166
34260;20803
34270;19899
34300;18139
34320;19512
34330;19436
34410;18534
34420;19560
34430;20297
34450;17035
34510;17002
34530;17105
34550;15497
34600;18272
34640;19441
34710;19618
34730;15997
34740;17116
34770;17355
34800;18626
34870;16758
34910;16177
34930;17718
34950;19735
34970;19786
34980;16101
35100;21044
35220;18361
35240;18461
35260;0
35270;17422
35300;19248
35320;19813
35400;17787
35420;19028
35480;16138
35500;18591
35520;18061
35530;18882
35540;23902
35550;20595
35600;20153
35610;19421
35630;20564
35700;19306
35740;21645
35750;18594
35800;19581
35820;20885
35990;17781
36100;27029
36110;26029
36120;23173
36200;22357
36220;21700
36240;23720
36270;23699
36280;21508
36340;21855
36420;21985
36430;22026
36450;19892
36520;20539
36570;21147
36600;20958
36640;23395
36660;21838
36720;19267
36760;18432
36810;20718
36840;18195
36880;16460
36910;18068
36930;17510
37100;19270
37120;24221
37130;23054
37140;25458
37150;22556
37180;21883
37200;22907
37210;0
37240;20543
37310;24191
37350;23496
37370;20782
37380;19848
37420;22844
37470;24419
37500;22050
37530;22844
37550;25106
37560;25902
37570;24744
37600;20753
37630;22657
37700;20766
37720;22034
37740;19820
37770;20580
37800;20820
37830;20926
37850;22667
37860;24595
37900;19203
37910;20576
37960;19427
38100;21251
38120;20786
38130;0
38140;20478
38200;19130
38210;19349
38220;20225
38250;21782
38270;17593
38280;20072
38300;20271
38360;18769
38420;22724
38460;20376
38470;18724
38490;19510
38510;18826
38600;17847
38650;15867
38670;16988
38680;16624
38700;19829
38710;17060
38720;18217
38740;19980
38750;19247
38760;21565
38770;20325
38800;18131
38840;19004
38860;17054
38910;18505
38920;18553
38950;17519
38970;16242
39100;20652
39110;21975
39130;23120
39150;24342
39160;25999
39170;22998
39180;21895
39195;16889
39200;21120
39230;20048
39290;20359
39310;19952
39340;21772
39360;23071
39380;20329
39410;19954
39430;18433
39450;17663
39500;19338
39530;19810
39580;18246
39590;18797
39610;16894
39620;18899
39660;18113
39700;18791
39750;18226
39770;16974
39780;21591
39810;18875
39820;17564
39880;15219
39920;17381
39930;17454
39940;19141
39960;18078
39965;17022
39980;16210
39990;17826
40100;17548
40200;21184
40250;23141
40270;23078
40320;19702
40340;17081
40400;22041
40420;22943
40500;18944
40520;20257
40530;23392
40600;19417
40620;19063
40630;22164
40640;18747
40660;23814
40700;17405
40720;19590
40740;16923
40800;21787
40820;20218
40900;21897
40930;25083
40950;23930
41120;26102
41140;24075
41160;22785
41180;21664
41210;23946
41220;20053
41230;19349
41240;17906
41260;18735
41270;19391
41290;25122
41310;23538
41325;22733
41330;22364
41340;21193
41350;21609
41360;20397
41370;22292
41390;22124
41400;20218
41410;20702
41440;21145
41450;22961
41490;19547
41500;17875
41520;18179
41530;16487
41540;17628
41550;15756
41560;15671
41580;18819
41630;20952
41660;20009
41710;19244
41730;0
41750;18094
41770;16613
41800;20299
41820;22896
41840;19592
41860;24595
41870;17890
41880;18290
41900;19850
41920;23797
41925;18646
41930;23205
41940;23269
41970;18298
41980;18043
42100;20455
42140;23597
42220;20849
42300;19893
42330;24488
42440;17465
42520;18387
42560;24012
42600;17483
42660;15594
42700;19354
42720;0
42800;18509
42820;18902
42830;17415
42840;17765
42850;19170
42870;18808
42910;17649
42930;16641
43100;18356
43130;22530
43170;16214
43220;18234
43240;17546
43250;18355
43270;18125
43300;16971
43340;16761
43390;17079
43420;17290
43430;17349
43440;15734
43480;17447
43490;17810
43500;18048
43520;14956
43540;15652
43560;16428
43610;17387
43640;17115
43660;18176
43700;18388
43720;13989
43800;17085
43840;18539
43900;17549
43940;14451
43960;15653
44100;19270
44120;22267
44150;20342
44160;22795
44170;23808
44190;22120
44200;19082
44220;20470
44250;23496
44260;20310
44280;18780
44300;18547
44320;16939
44330;21143
44350;17419
44370;17791
44400;18356
44420;22131
44440;16442
44460;17216
44480;19906
44500;18151
44530;19080
44580;16551
44590;17932
44610;17955
44630;16255
44640;19405
44670;20057
44680;22274
44730;18218
44740;16932
44760;16032
44770;0
44790;19814
44800;17666
44860;18589
44880;16565
44910;16856
44920;19996
44950;16751
44970;17069
45100;20207
45120;23593
45130;18861
45150;19577
45160;19219
45200;19796
45330;21985
45360;23702
45370;22015
45410;22186
45460;19640
45610;21741
45700;20371
45720;22932
45740;21711
45750;16509
45810;22640
45910;19979
45940;19931
46110;18624
46140;19711
46230;19301
46400;19177
46430;21483
46450;19390
46530;18672
46570;13768
46710;18263
46730;19127
46750;20380
46800;20190
46810;21047
46860;19965
46900;20763
46910;21805
46930;20735
46950;18922
46960;20867
47110;20037
47150;20847
47200;18552
47260;17426
47310;19375
47350;21372
47400;19752
47440;21153
47450;20882
47460;20575
47490;18521
47520;26145
47540;20449
47610;17218
47650;21953
47710;18995
47760;16928
47810;20292
47830;19824
47850;19476
47900;19199
47910;0
48100;18711
48130;21221
48200;15704
48210;23542
48220;19933
48230;18134
48300;22820
48310;24874
48350;15479
48400;22169
48410;23403
48600;18631
48700;18935
48710;23383
48720;22333
48750;20095
48770;20578
48800;23570
48810;22084
48900;18874
48910;20970
48930;24370
49200;24479
49210;22305
49220;22299
49240;22161
49270;19152
49290;20390
49300;20843
49340;18597
49400;20416
49410;20297
49420;22636
49460;18548
49480;22452
49490;21570
49510;19094
49520;20883
49540;19097
49570;19288
49610;16913
49630;17279
49640;20328
49660;19037
49700;17317
49720;17602
49730;16712
49750;18825
49760;18987
49770;17572
49780;22938
49840;18622
49860;19213
49900;18969
49930;17150
49960;18459
49980;22235
50100;19201
50120;19286
50130;20392
50150;21914
50160;17678
50170;21098
50180;24564
50190;19584
50200;22320
50300;20620
50350;22615
50500;21003
50520;22059
50600;23399
50670;20610
50700;24346
50770;20742
50800;24067
50970;21459
51130;15239
51200;17629
51260;19393
51270;18203
51310;18904
51335;23179
51340;16443
51360;17608
51380;19595
51420;19510
51430;19437
51440;18847
51450;15782
51460;19303
51520;19978
51540;17886
51600;17563
51620;0
51670;15884
51720;23890
51740;20616
51760;21402
51780;19433
51810;17286
51820;20301
51850;18612
51860;22552
51880;17816
51890;21130
51900;18497
51930;21390
51940;18537
51980;19596
52100;19977
52110;22558
52150;20482
52200;18893
52230;17273
52270;17210
52300;20502
52320;22350
52330;19647
52340;20209
52360;15793
52420;17183
52510;18504
52520;20189
52550;17678
52610;17687
52620;17744
52700;18850
52720;18350
52730;17803
52740;17375
52760;17278
52780;16644
52830;17089
52850;15682
52890;15013
52920;18227
52960;20581
52970;16929
52980;15072
53100;19724
53130;22663
53200;20462
53300;20842
53400;23491
53420;22640
53500;22544
53550;23754
53600;19903
53650;20664
53810;18280
53830;23997
53850;17419
53900;20682
53920;19517
53950;20087
54100;20315
54110;22859
54120;21362
54190;15896
54230;19323
54250;18125
54260;24385
54270;18863
54300;21238
54310;23461
54330;21552
54390;17144
54410;18715
54430;17421
54460;16367
54490;17903
54500;18599
54510;19411
54530;22401
54550;14641
54580;15540
54590;19066
54710;18631
54720;18746
54750;16698
54770;17675
54800;18606
54820;19616
54850;22480
54915;23517
54920;22477
54930;16693
54940;19522
54950;16983
54960;22021
55100;20640
55120;19015
55300;21602
55320;20973
55330;18689
55400;22439
55420;21848
55510;17153
55610;19248
55700;22819
55800;19030
55910;20670
56100;19741
56120;23879
56140;17889
56210;21121
56310;18463
56330;19518
56350;0
56410;20568
56440;18371
56510;20666
56550;20807
56610;18676
56640;16580
56710;18038
56730;18604
56800;18476
57100;17135
57120;0
57130;18002
57170;17007
57200;20072
57210;20920
57220;16732
57230;18017
57310;19894
57510;22152
57600;22183
57710;21443
57810;21093
58130;18130
58140;17202
58150;20741
58160;17536
58170;20517
58175;17276
58180;16492
58200;18024
58220;20413
58260;18224
58300;15652
58320;20089
58350;14663
58360;13850
58390;17160
58410;21995
58420;21769
58430;21802
58450;22453
58500;18741
58520;19844
58550;18261
58570;16071
58580;17070
58610;15798
58620;15432
58650;16348
58680;19568
58690;19802
58700;17450
58720;15551
58770;17951
58810;19171
58830;17311
58850;19182
58900;17804
58910;17582
58920;17999
58940;19755
59100;18426
59130;19898
59210;18078
59310;19789
59320;18387
59410;16528
59510;15403
59520;19433
59530;17419
59610;14881
59710;18213
59720;17317
59730;17462
59800;17588
59810;18140
59820;18862
60100;18484
60120;19900
60150;20190
60200;23934
60220;20227
60280;15253
60320;22013
60420;25259
60450;23977
60510;24544
60550;22608
60560;24568
60640;23855
60720;25713
60760;23927
60800;20851
61100;18859
61110;20753
61120;23748
61140;20506
61150;18224
61160;20583
61170;17783
61180;19401
61220;20972
61230;18992
61250;22749
61270;21812
61280;20222
61290;18363
61300;19298
61310;20348
61330;20273
61340;18769
61350;20215
61360;20657
61370;18706
61380;19990
61400;19145
61410;20903
61430;21135
61440;22713
61450;18478
61460;20687
61470;24913
61500;19525
61520;17800
61550;20205
61560;19289
61600;19052
61630;20729
61640;19521
61650;18270
61680;21484
61710;20403
61720;18399
61730;17094
61760;16243
61800;19468
61810;19217
61820;18601
61840;17565
61850;19079
61860;21538
61880;16771
61910;16806
61920;16155
61940;17790
61950;16074
61960;14893
61980;17583
62100;20877
62130;20039
62150;24502
62160;21431
62165;19727
62170;17583
62175;17292
62185;20823
62190;23246
62200;19910
62220;20968
62230;19668
62240;16635
62260;17041
62280;18704
62290;18492
62295;17024
62300;19986
62310;19070
62340;18312
62350;20008
62370;19150
62375;19772
62380;17695
62395;15625
62410;18760
62420;18176
62430;20075
62435;20310
62440;19198
62470;18081
62500;19654
62510;21280
62520;19333
62540;21491
62570;19352
62600;18325
62610;17255
62620;16422
62630;16635
62640;16928
62660;18645
62710;17806
62720;20858
62730;19741
62740;20543
62750;17034
62760;15691
62800;19397
62810;15287
62830;22132
62840;20912
62860;19175
62870;22237
62880;18180
62900;18826
62920;16139
62940;18797
62950;19176
62990;14027
63100;19727
63120;16861
63130;20293
63150;18559
63160;17454
63210;18852
63230;18279
63250;20520
63300;19078
63320;15809
63330;18507
63340;18249
63350;18990
63355;16090
63360;16541
63370;18847
63400;18833
63410;18174
63430;16177
63450;16683
63500;16878
63510;16768
63530;17455
63540;18593
63600;16938
63610;20139
63640;18099
63660;17274
63680;18331
63700;18890
63770;20373
63780;17994
63800;17837
63830;13020
63880;16302
63890;16405
63900;19473
63910;18770
63920;21190
63950;15608
64100;20234
64140;19531
64200;18734
64210;23318
64220;21385
64230;21683
64240;19927
64250;19883
64260;20422
64300;19085
64320;17275
64350;18031
64370;18591
64440;16596
64450;18171
64460;16565
64480;17102
64490;16506
64510;20377
64530;19240
64550;20286
64610;18578
64700;18111
64720;19016
64740;15439
64760;18407
64770;19952
64810;17972
64820;17738
64830;15870
64840;18695
64850;18668
64900;18185
64930;17123
65100;18513
65130;0
65170;24648
65200;16555
65230;22926
65280;25781
65300;26809
65320;21970
65350;21037
65370;19171
65380;22151
65410;25301
65450;24613
65460;25570
65470;23289
65480;23175
65520;23931
65610;23624
65630;25202
65650;23969
65710;25075
65730;22771
65760;23113
65800;23268
65870;18864
65920;21843
65930;21115
65970;18583
66100;21538
66140;20680
66160;19723
66200;19257
66210;20164
66220;20278
66230;17898
66240;18728
66260;19347
66270;18203
66280;18213
66290;18018
66295;17635
66300;18642
66320;17332
66330;18452
66340;18242
66350;15586
66360;18059
66370;16773
66400;22728
66420;22568
66430;22794
66440;21417
66450;21754
66460;20089
66470;21094
66500;21165
66510;23126
66520;21893
66530;22724
66540;22208
66550;22747
66560;21715
66580;22995
66590;21235
66600;21234
66640;21522
66660;22382
66680;18173
66710;22258
66730;18752
66800;21029
66810;20243
66820;17623
66830;21572
66840;20277
66850;20416
66900;21056
66910;24614
66930;23036
66950;20980
66970;20755
66980;19398
66999;17803
67100;18603
67200;20198
67300;22859
67400;23975
67410;21995
67500;22156
67600;23230
67700;23156
67800;18276
67900;21113
68100;18792
68150;18114
68210;19866
68220;21950
68230;20482
68240;18307
68300;21256
68320;23205
68370;19133
68380;19952
68390;21443
68410;21644
68500;20642
68530;24414
68550;22687
68555;22632
68560;22301
68570;22773
68580;23250
68600;20632
68620;21464
68630;23049
68660;19127
68690;20730
68700;20633
68750;17315
68800;22546
68810;22661
68820;21206
68830;23355
68840;18369
68870;19909
68910;21512
68920;23580
68930;22292
68940;19770
68970;17239
68999;19891
69100;20551
69150;18987
69170;20825
69300;19465
69310;20884
69330;18817
69340;23309
69410;18023
69420;20258
69440;18716
69450;17152
69510;18125
69550;16279
69570;18351
69600;20963
69660;18778
69700;19216
69730;22605
69750;18154
69820;18288
69830;17512
69850;19353
69910;13949
69920;18237
69950;19290
69970;0
69980;19539
70100;19676
70110;17750
70150;18076
70200;19025
70210;18283
70240;22206
70260;24365
70280;20605
70300;21913
70340;20041
70400;23996
70420;22128
70460;18662
70500;18052
70600;18398
70620;19173
70700;20153
70780;21379
70800;23975
70820;22689
70840;26195
70870;24773
70900;26020
70910;23303
70940;24908
71130;21240
71150;21775
71160;21350
71170;18931
71200;16676
71210;18578
71240;18826
71260;14318
71280;17033
71310;18269
71330;21184
71360;18974
71380;18043
71460;24325
71470;22086
71480;25754
71490;23376
71520;26063
71570;24861
71610;0
71640;17218
71650;22319
71660;17587
71670;18498
71680;19282
71690;0
71720;24504
71730;21103
71740;22332
71745;20305
71750;18519
71760;19956
71775;17879
71800;21857
71820;22565
71840;22824
71850;22085
71870;25210
71890;23251
71910;22013
71920;21011
71950;20142
71960;17472
72100;18408
72140;0
72210;17081
72220;15213
72300;16924
72310;16050
72330;16285
72350;17984
72360;15970
72380;19130
72400;17341
72430;17887
72490;0
72510;16591
72530;16740
72550;17958
72570;17990
72600;17898
72630;19993
72710;19149
72740;16558
72810;15034
72840;16549
72930;16983
72950;15597
72980;17999
73100;19804
73110;17882
73120;21428
73200;17216
73230;19118
73250;17177
73300;18065
73310;27585
73320;19709
73350;21390
73360;22178
73410;20468
73460;18225
73470;20184
73500;18389
73600;16740
73620;17102
73640;14873
73645;16344
73670;16946
73710;16660
73730;15187
73770;17076
73810;18276
73830;17839
73850;20571
73860;0
73900;15697
73970;0
73990;15360
74100;17889
74120;20495
74130;20165
74140;22590
74150;20135
74160;23186
74170;22485
74200;18612
74230;19758
74240;16732
74250;16124
74270;20228
74300;18271
74340;16299
74345;15974
74360;19383
74380;14931
74390;16656
74420;20557
74470;17617
74490;15689
74510;19738
74520;23727
74540;18058
74550;16404
74590;20648
74595;18234
74610;20681
74630;16787
74640;17347
74670;22675
74680;17886
74700;17807
74720;19541
74740;18891
74770;15375
74840;18183
74940;19657
74980;15516
75500;17936
75530;18517
75650;18343
75680;17569
75700;16952
75710;18896
75740;16814
75770;16506
75790;16906
75840;15698
75890;16307
75930;15263
75940;0
75970;20436
75990;15509
76100;18425
76120;19654
76130;21241
76150;18791
76280;21266
76620;23235
76780;22302
76850;20951
76940;19177
77110;20059
77120;17907
77140;15520
77220;19404
77240;20646
77320;18514
77330;17350
77350;18245
77380;19179
77430;19106
77460;19908
77480;19953
77520;17612
77570;17320
77580;19857
77600;18884
77630;22255
77690;18667
77700;17633
77770;17768
77800;18092
77910;20370
77930;17008
77960;0
78200;16296
78210;20703
78250;20381
78300;18361
78310;23320
78400;22537
78480;24270
78500;21740
78610;22013
78710;21762
78850;20313
78870;19554
78880;21880
78900;21631
79100;19499
79130;18385
79140;22630
79150;21303
79160;21470
79180;14029
79190;15364
79230;16094
79255;18822
79265;21985
79330;19191
79350;22248
79410;20185
79480;18592
79520;15414
79600;18824
79620;19526
79630;20731
79660;17935
79680;18265
79690;16309
79700;17813
79810;20449
79820;17993
79830;14321
79850;0
79860;16094
79885;18391
79895;19907
79910;19427
79940;15193
80100;17127
80110;17626
80130;20387
80140;19634
80160;18115
80170;20337
80200;18062
80210;0
80220;18201
80230;22347
80260;20663
80330;22910
80400;23109
80510;24120
80710;23921
80770;23353
